LOG_NO,"NOTIFIER, VENDOR",DESCRIPTION,REP_DATE,ACCESS_NO 
89195,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE, WESTINGHOUSE",ACTUATOR MODEL SB-0 FAILED DUE TO MOTOR PINION GEAR KEYWAY BEING CUT TOO DEEP FOR THE SIZE KEY INSTALLED,11/21/1989,8911290149
89196,"TEXAS UTILITIES GENERATING, ROSEMOUNT",POTENTIAL FAILURES OF TRANSMITTER MODELS 1153 AND 1154,11/13/1989,8911290302
89197,ROSEMOUNT,"RESISTANCE BRIDGES CAN DEGRADE UNDER CERTAIN COMBINATIONS OF HUMIDITY, TEMPERATURE, POWER, AND DURATION",12/01/1989,8912140001
89198,"PENNSYLVANIA POWER AND LIGHT, HUB INCORPORATED,. WELDED TUBE",CRACKED LONGITUDINAL BUTT WELDED JOINT IN STRUCTURAL TUBING,12/07/1989,8912130002
89199,"INDIANA AND MICHIGAN ELECTRIC, WESTINGHOUSE",MODEL FB3125L AND FB3090L CIRCUIT BREAKERS TRIP EARLIER THAN THE TIME BAND GIVEN BY THE TIME- CURRENT CHARACTERISTICS,12/12/1989,8912200198
89200,"ARIZONA PUBLIC SERVICE,HENRY PRATT","CONTAINMENT ISOLATION VALVES FAILED LOCAL LEAK RATE TEST DUE TO HYDROGEN EMBRITTLEMENT OF SPIROL PINS, ALLOWING AXIAL MOVEMENT OF DISCS",10/09/1989,8911200287
89201,"ARIZONA PUBLIC SERVICE, COOPER ENERGY",EMERGENCY DIESEL GENERATOR EXHAUST ROCKER ARM FAILURE,11/30/1989,8912130278
89202,DRESSER INDUSTRIES,POTENTIALLY DEFECTIVE PRESSURE REDUCING SLEEVES,12/15/1989,9001030197
89203,COOPER ENERGY,POTENTIAL INTERFERENCE BETWEEN CONNECTOR PUSH ROD AND END SOCKET OF ROCKER ARM,11/28/1989,8912110033
89204,"SOUTHERN CALIFORNIA EDISON, ITT GENERAL CONTROLS",DRIFT IN TRANSDUCERS ASSOCIATED WITH AUXILIARY FEEDWATER FLOW CONTROL VALVES,12/12/1989,9001090174
88001,"TENNESSEE VALLEY AUTHORITY, ROCKBESTOS, ANACONDA-ERICCS ON",DEFECTIVE SILICONE RUBBER INSULATED CABLES POSSIBLY DAMAGED DURING SHIPPING OR INSTALLATION,01/25/1988,8801290004
88002,"LONG ISLAND LIGHTING, ENTECH ENGINEERING,NMS CORPORATION",DEFECTS IN ACCDOS AND RMS COMPUTER CODES USED TO CALCULATE X/Q VALUES,01/29/1988,8802120214
88003,"TRANSAMERICA DELAVAL, THERMEXCHANGER, GEORGIA POWER",FAILURE OF DIESEL JACKET WATER HEAT EXCHANGER DURING MAINTENANCE,01/19/1988,8802010091
88004,"WISCONSIN ELECTRIC POWER, WESTINGHOUSE",DESIGN DEFICIENCY IN INTERLOCKING ARRANGEMENT FOR THE EMERGENCY POWER SUPPLIES TO 4160 VOLT SWITCHGEAR,01/13/1988,8801280128
88005,"GULF STATES UTILITIES, LIMITORQUE","WIRE LUGS FOR THE MOTOR LEAD CONDUCTORS IN SAFETY-RELATED SMB-4 VALVE OPERATORS FOUND TO BE OVERSIZED, CAUSING HIGH CURRENT",01/19/1988,8802100191
88006,"ILLINOIS POWER, BELOIT POWER SYSTEMS",EMERGENCY DEISEL GENERATOR HAS DAMAGED REAR BEARING AND ROTOR SHAFT,01/04/1988,8801150201
88007,"KAMAN INSTRUMENTATION, ARIZONA PUBLIC SERVICE",RESPONSE TO 10 CFR PART 21 REPORT REGARDING DEFICIENCY IN PARTICULATE CHANNEL OF RU-1 RADIATION MONITOR,01/28/1988,8802120258
88008,"GENERAL ELECTRIC, DETROIT EDISON",HIGH PRESSURE COOLANT INJECTION SUCTION OVERPRESSURE,01/29/1988,8802120164
88009,"MORRISON- KNUDSEN, TENNESSEE VALLEY AUTHORITY, GENERAL ELECTRIC",WRONG SIZE BREAKERS IN EMERGENCY DIESEL CIRCUIT BREAKER,02/05/1988,8802230083
88010,"GENERAL ATOMIC, PUBLIC SERVICE OF COLORADO",REPLACEMENT PARTS FOR HELIUM CIRCULATORS POSSIBLY DELIVERED WITH IMPROPER QUALITY SPECIFICATIONS,02/02/1988,8802230086
88011,TENNESSEE VALLEY AUTHORITY,DIODE INSTALLED BACKWARDS AND REVERSING POLARITY IN DIESEL GENERATOR VOLTAGE REGULATOR,02/01/1988,8802080265
88012,"TENNESSEE VALLEY AUTHORITY,XOMOX CORPORATION, TUFLINE CORPORATION",90 DEGREE PLUG VALVES MAY BECOME DISENGAGED FROM MOTOR OPERATORS WITH H-BC GEARS,01/08/1988,8801140106
88013,"FLORIDA POWER CORPORATION, POWER CONVERSION PRODUCTS, SACRAMENTO MUNICIPAL UTILITY DISTRICT",MODEL RTF-480/120-30 AC REGULATING TRANSFORMERS CAN TRIP CIRCUIT BREAKER,02/10/1988,8802170305
88014,"FLORIDA POWER CORPORATION, LIMITORQUE, PEERLESS PUMP",FRAYED WIRES ON DC MOTOR OPERATED VALVE LEADS,02/15/1988,8802190066
88015,"HOUSTON LIGHTING AND POWER, LIMITORQUE, ROCKWELL INTERNATIONAL",LOOSE VALVE SHAFT KEYS TO ACTUATOR,01/07/1988,8801120370
88016,GAMMA-METRICS,POTENTIAL FOR LEAK AT ELEVATED TEMPERATURES IN SOLDER JOINT OF METAL HOSE IN CABLE ASSEMBLY OF POST ACCIDENT MONITORING SYSTEM,02/19/1988,8802250503
88017,HILTI FASTENING SYSTEMS,NONCONSERVATIVE EXPANSION ANCHOR GUIDELINES,03/18/1988,8804250147
88018,"LIMITORQUE, TEXAS UTILITIES GENERATING",H3BC ACTUATOR WORM GEARS FOUND CRACKED,03/18/1988,8803250320
88019,"PENNSYLVANIA POWER AND LIGHT, ALPHA ASSOCIATES",DELAMINATED FIBERGLASS CLOTH INSULATION COULD BLOCK THE EMERGENCY CORE COOLING SYSTEM PUMP STRAINERS DURING A LOSS OF COOLANT ACCIDENT,03/21/1988,8803280195
88020,"NORTHEAST NUCLEAR ENERGY, ROSEMOUNT",FAILURE OF 1153HD5PA TRANSMITTER,03/25/1988,8804060055
88021,"BINGHAM- WILLAMETTE, UNION CARBIDE",POTENTIAL CREVICE CORROSION IN BALANCED STATOR SEALS,02/23/1988,8803080159
88022,GEORGIA POWER,INADEQUATE ELECTRICAL CABLE SEPARATION CRITERIA,02/24/1988,8802290386
88024,KAMAN INSTRUMENTATION,"ALGORITHM ERROR IN PARTICULATE AND IODINE CHANNELS OF RADIATION MONITORS KMPIG, KMPIG(MF), KMPG, KMPG(MF), AND KMCAM",02/22/1988,8803220026
88024,"SACRAMENTO MUNICIPAL UTILITY DISTRICT,GENERAL ELECTRIC",IMPROPERLY CRIMPED LUGS ON MOTORS,03/02/1988,8803160450
88025,"MORRISON- KNUDSEN, ELECTROMOTIVE DIVISION OF GENERAL MOTORS",SHIPMENT OF CONNECTING RODS WITH QUESTIONED SURFACE CONDITION AND BEARING OVERLAY,03/17/1988,8805110101
88026,"VERMONT YANKEE, GENERAL ELECTRIC, AUTOMATICSWITCH COMPANY",POSSIBLE DEFECT IN SOLENOID REBUILD KITS,09/16/1986,8802290045
88027,"NAMCO CONTROL, VERMONT YANKEE",DEFECTIVE CONTACT BLOCKS,04/16/1986,8802250335
88028,"AUTOMATIC SWITCH COMPANY,GENERAL ELECTRIC, TENNESSEE VALLEY AUTHORITY",POTENTIAL DEFECT IN TYPE PK-2 TEST BLOCK,02/23/1988,8803220045
88029,"INDIANA AND MICHIGAN ELECTRIC, LIMITORQUE",UNQUALIFIED TORQUE SWITCHES ON VALVE OPERATORS,04/04/1988,8804110193
88030,"MORRISON- KNUDSEN, TENNESSEE VALLEY AUTHORITY",INADEQUATE INSULATION BETWEEN WINDINGS OF SATURABLE CORE TRANSFORMER INSTALLED IN DIESEL GENERATOR,04/19/1988,8805110107
88031,"MORRISON- KNUDSEN, ELECTROMOTIVE DIVISION OF GENERAL MOTORS",DIESEL CONNECTING ROD BEARING SHELLS FOUND TO HAVE ABNORMAL SURFACE FINISH,03/01/1988,8803070001
88032,"GENERAL ELECTRIC, CAROLINA POWER AND LIGHT",CR205X AUXILIARY CONTACTS FAILED DUE TO BINDING OF THE PHENOLIC PLUNGER IN THE CONTACT BLOCK,04/25/1988,8805110084
88033,WESTINGHOUSE,PREVIOUS RECOMMENDATION ON VERIFYING OPERABILITY OF W-2 TYPE CELL SWITCH WAS INAPPROPRIATE,03/23/1988,8804080243
88034,TEAM INCORPORATED,INTERPRETATION OF PART 21 REPORT,03/22/1988,8804070054
88035,"PAUL-MUNROE HYDRAULICS, HOUSTON LIGHTING AND POWER, CONTROL COMPONENTS",LEAKING POWER OPERATED RELIEF VALVE OPERATORS,04/18/1988,8806020019
88036,"SACRAMENTO MUNICIPAL UTILITY DISTRICT,GENERAL ELECTRIC",BUTTON IMPROPERLY MOUNTED ON CONTROL ROD DRIVE TRIP BREAKER UNDERVOLTAGE DEVICE TYPE AK2-25-2,04/07/1988,8804210136
88037,"YANKEE ATOMIC ELECTRIC, AUTOMATIC SWITCH COMPANY",VITON DIAPHRAM PROTECTIVE DISC MISPLACED ON PRESSURE SWITCHES FOR MAIN STEAM ISOLATION VALVE,04/26/1988,8806010197
88038,GEORGIA POWER,"CONTROL ROOM HEATING, VENTILATION, AND AIR CONDITIONING DEFICIENCIES",04/14/1988,8804210281
88039,"DRESSER INDUSTRIES, DUKE POWER",BROKEN OR CRACKED SPRINGS IN PRESSURE RELIEF VALVES TYPE 3787WA,03/30/1988,8804060420
88040,CLEVELAND ELECTRIC ILLUMINATING,POSTULATED EFFECTS ANALYSIS NOT PERFORMED IN DESIGN OF RESIDUAL HEAT REMOVAL SYSTEM,04/22/1988,Not Available
88041,"MORRISON- KNUDSEN, ELECTROMOTIVE DIVISION OF GENERAL MOTORS",UNACCEPTABLE DIESEL UPPER CONNECTING ROD BEARINGS,04/15/1988,8805110078
88042,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE",FAILED MOTOR PINION KEYS AND MOTOR SHAFT IN VALVE OPERATOR,04/29/1988,8805040177
88043,"KANSAS GAS AND ELECTRIC, PLANNED MAINTENANCE SYSTEMS, GOULD",FUSES RECEIVED WITHOUT QUALITY CONTROL AND TESTING CERTIFICATES,04/01/1988,8804080225
88044,"TENNESSEE VALLEY AUTHORITY, MORRISON-KNUDSE N",RELAYS IN DIESEL GENERATOR COULD FAIL DUE TO RESIDUAL MAGNETISM,03/21/1988,8803280192
88045,"GEORGIA POWER, TRANSAMERICA DELAVAL, THERMEXCHANGER",DIESEL GENERATOR JACKET WATER HEAT EXCHANGER DAMAGED DURING FLUSHING,04/14/1988,8804210277
88046,COORDINATING AGENCY FOR SUPPLIER EVALUATION,PART 21 REPORT REQUIREMENTS,01/15/1988,8804270206
88047,"CLEVELAND ELECTRIC ILLUMINATING, BORG-WARNER",OPERATOR MOTOR TOO SMALL,12/22/1987,8805030230
88048,"MORRISON- KNUDSEN, ELECTROMOTIVE DIVISION OF GENERAL MOTORS",ALL CUSTOMERS OF 645 DIESEL GENERATORS ARE INFORMED OF DEFECT WITH CLEVITE CONNECTING ROD BEARINGS,05/02/1988,8805110073
88049,"TRANSAMERICA DELAVAL, CALIFORNIA CONTROLS",IDENTIFIED LACK OF DIESEL PRODUCT TESTING,04/29/1988,8805060041
88050,CONSUMERS POWER,EXCESSIVE BORON CONCENTRATION IN SOLUTION USED TO STANDARDIZE SODIUM HYDROXIDE SOLUTION,05/02/1988,8805050299
88051,GAMMA-METRICS,DEVIATION IN SOLDER JOINTS OF CABLE ASSEMBLIES,05/10/1988,8805120052
88052,"NUTHERM INTERNATIONAL, BUSSMANN","CLIPS BROKEN DURING SEISMIC TESTS IN BUSS KTK-R FUSE BLOCKS WITH PART NUMBERS 2078, 2079, AND 2080",05/06/1988,8805110115
88053,STRUTHERS DUNN,"CERTAIN MATERIALS MAY NOT BE QUALIFIED IN RELAY SERIES 219, 236, 237,AND 255",04/22/1988,8805020040
88054,STRUTHERS DUNN,"RELAYS SERIES 219, 236, 237, AND 255 WERE MANUFACTURED WITH A COMMERCIAL GRADE TEFLON BEARING PAD",04/29/1988,8805110095
88055,"LONG ISLAND LIGHTING, GUYON ALLOYS, STANDARD FITTINGS",LINEAR INDICATION IDENTIFIED IN FORGED STEEL SOCKETS AND ELBOWS,05/06/1988,8805270152
88056,"LONG ISLAND LIGHTING, GUYON ALLOYS, STANDARD FITTINGS",LINEAR INDICATIONS IDENTIFIED IN STEEL ELBOWS AND SOCKET WELDS,12/21/1987,8805270160
88057,"BBC BROWN BOVERI, TELEMECANIQUE",DEFICIENCY IN SOLID STATE TRIP DEVICE FOR LOW VOLTAGE K-LINE CIRCUIT BREAKERS,05/06/1988,8805120185
88058,"CONSUMERS POWER, TELEMECANIQUE,BBC BROWN BOVERI",MISSING COTTER PIN IN BREAKER TRIP MECHANISM CAUSED BREAKER TO CLOSE,05/20/1988,8805260145
88059,"CONSUMERS POWER, ASHCROFT, DRESSER INDUSTRIES",REPEATED FAILURES OF GLYCERIN FILLED BOURDON TUBE PRESSURE GAUGES AT PRESSURE WITHIN THE OPERATING RANGE,05/25/1988,8806010295
88060,"SACRAMENTO MUNICIPAL UTILITY DISTRICT,GENERAL ELECTRIC",ARMATURE BUTTON IMPROPERLY MOUNTED ON UNDERVOLTAGE DEVICE TYPE AK2-25-2 FOR CONTROL ROD DRIVE TRIP BREAKER,05/09/1988,8805160219
88061,"TENNESSEE VALLEY AUTHORITY, MORRISON-KNUDSE N","DUST AFFECTING K2, K3, AND LR RELAY CIRCUITS IN FIELD FLASHING CIRCUIT OF DIESEL GENERATOR",05/04/1988,8805090073
88062,"TENNESSEE VALLEY AUTHORITY, MORRISON-KNUDSE N",FAILURE OF INSULATION HIGH VOLTAGE CABLE TO POTENTIAL TRANSFORMERS IN DIESEL GENERATOR EXCITER CUBICLE,06/01/1988,8806060060
88063,"CAROLINA POWER AND LIGHT,UNITED ENGINEERS, LIMITORQUE",DC CONTROL CIRCUITRY DESIGN FOR ELECTRICALLY POWERED MOTORS FOUND TO HAVE NO SURGE PROTECTION,05/06/1988,8805190208
88064,"CAROLINA POWER AND LIGHT, EBASCO SERVICES, LIMITORQUE",DC MOTORS ON VALVE OPERATORS FOUND TO LACK SURGE PROTECTION,05/18/1988,8806030324
88065,GENERAL ELECTRIC,INCORRECT SIZE FUSE FOUND IN THE SQUIB FIRING CIRCUIT OF THE STANDBY LIQUID CONTROL SYSTEM,05/10/1988,8806140034
88066,NUCLEAR PACKAGING,TYPE A CASKS MAY NOT HAVE BEEN TESTED ACCORDING TO SPECIFICATIONS,05/09/1988,8806140135
88067,"TRANSAMERICA DELAVAL, CALIFORNIA CONTROLS",ERRONEOUS INDICATIONS FOR PRESSURE SENSOR LUBRICATING OIL TRIP,05/12/1988,8805260342
88068,"FLORIDA POWER AND LIGHT, WESTINGHOUSE",POSSIBLE COMPONENT COOLING WATER SYSTEM OVERPRESSURE,05/02/1988,8805090198
88069,"SACRAMENTO MUNICIPAL UTILITY DISTRICT,GEMS INCORPORATED, TRANSAMERICA DELAVAL",LACK OF QUALIFICATION DOCUMENTATION FOR TOGGLE SWITCH,05/16/1988,8805230299
88070,"BINGHAM- WILLAMETTE, ARIZONA PUBLIC SERVICE, HOUSTON LIGHTING AND POWER",STRESS CORROSION CRACKING OR HYDROGEN EMBITTLEMENT ON AUXILIARY FEED PUMPS,05/04/1988,8805230110
88071,"SOUTHERN CALIFORNIA EDISON,MORRISON-KNUDSE N, ELECTROMOTIVE DIVISION OF GENERAL MOTORS",EXCESSIVE VIBRATION IN DIESEL GENERATOR DUE TO DESIGN OF CAMSHAFT BRACKET,05/10/1988,8805270170
88072,"DUQUESNE LIGHT, TELEMECANIQUE, BBC BROWN BOVERI",SHORT CIRCUITS OF OUTPUT SILICON CONTROL RECTIFIERS IN OVERCURRENT RELAYS,07/05/1988,8807130135
88073,"HOUSTON LIGHTING AND POWER, WESTINGHOUSE",DEFECTS IN CIRCUIT BREAKERS AND POLE SHAFT WELDS,06/15/1988,8806290294
88074,"ARIZONA PUBLIC SERVICE,BINGHAM-WILLAME TTE",STRESS CORROSION CRACKING OR HYDROGEN EMBRITTLEMENT OF SHAFT SLEEVES ON AUXILIARY FEED PUMP,06/03/1988,8806080382
88075,"MORRISON- KNUDSEN, ELECTROMOTIVE DIVISION OF GENERAL MOTORS",DEFECT IN CLEVITE UPPER CONNECTING ROD BEARINGS,06/09/1988,8806160209
88076,"SACRAMENTO MUNICIPAL UTILITY DISTRICT,GEMS INCORPORATED, TRANSAMERICA DELAVAL",LACK OF QUALIFICATION DOCUMENTATION FOR TOGGLE SWITCH (SAME REPORT AS 88069),05/16/1988,8806140194
88077,"DRESSER INDUSTRIES, GEORGIA POWER",VALVE BODY FLOW ARROW STAMPED IN REVERSE OF THE DIRECTION OF FLOW,06/16/1988,8806230219
88078,"GEORGIA POWER, DRESSER INDUSTRIES",SEVERAL VALVES INSTALLED OPPOSITE TO FLOW DIRECTION; ARROWS STAMPED ON VALVES POINT IN WRONG DIRECTION,07/07/1988,8807070522
88079,"PHILADELPHIA ELECTRIC, GENERAL ELECTRIC",HMA RELAYS MANUFACTURED IN 1974 HAVE INSUFFICIENT CLEARANCE BETWEEN ARMATURE TAIL PIECE AND MOLDED POSTS ON TAIL PIECE,06/06/1988,8806140165
88080,"NUCLEAR REGULATORY COMMISSION, PHILADELPHIA ELECTRIC, CUTLER-HAMMER",CRACKING OF BELLEVILLE WASHERS BETWEEN VERTICAL AND HORIZONTAL BUS SECTIONS IN MOTOR CONTROL CENTERS,07/07/1988,8805200225
88081,"CAROLINA POWER AND LIGHT, WESTINGHOUSE",POSSIBLE OVERPRESSURIZATION OF COMPONENT COOLING WATER SYSTEM,06/28/1988,8807050374
88082,"HOUSTON LIGHTING AND POWER, WESTINGHOUSE",BINDING OF SPRING RELEASE DEVICE IN 480V BREAKER,07/11/1988,8807200385
88083,"ARIZONA PUBLIC SERVICE,PARSONS PEEBLES",LOOSE ROTOR WINDINGS IN DIESEL GENERATOR,07/08/1988,8808010211
88084,"WASHINGTON PUBLIC POWER, BURNS AND ROE",POTENTIAL UNMONITORED EFFLUENT RELEASE PATH,06/06/1988,8806160090
88085,"SOUTH CAROLINA ELECTRIC AND GAS, GILBERT/COMMONW EALTH",POSSIBLE STEAM PATH THAT MAY AFFECT UNQUALIFIED EQUIPMENT,07/15/1988,8807260183
88086,"HOUSTON LIGHTING AND POWER,PAUL-MUNROE ENERTECH, ENERFAB",UNQUALIFIED AND FLUID INCOMPATIBLE MATERIAL IN SEALS INSTALLED IN MAIN STEAM POWER OPERATED RELIEF VALVE ACTUATORS,03/31/1988,8806100082
88087,VICTOREEN,SPURIOUS CHIP SIGNAL IN 960CD MICROPROCESSOR BASED CONTROLLERS,07/08/1988,8807260350
88088,TARGET ROCK,POSITION INDICATION SWITCH LEAD WIRES ON SOLENOID VALVES SUSCEPTIBLE TO CRACKING WHEN FLEXED DURING HANDLING,06/28/1988,8807130417
88089,TENNESSEE VALLEY AUTHORITY,DIESEL GENERATOR BREAKER LOGIC DEFICIENCY PREVENTED CONNECTION TO SHUTDOWN BOARDS DURING LOSS OF COOLANT OR LOSS OF POWER TEST,07/05/1988,8807140215
88090,"ARIZONA PUBLIC SERVICE, POTTER AND BRUMFIELD, COMBUSTION ENGINEERING","CORROSION OF INTERNAL SURFACES OF RELAY MOTOR CHAMBER, PREVENTING CONTACTS FROM CHANGING STATE",08/03/1988,8808090221
88091,"COMBUSTION ENGINEERING, POTTER AND BRUMFIELD, ARIZONA PUBLIC SERVICE",RECOMMENDED INCREASED VOLTAGES RESULTED IN EXCESSIVE HEATING (SUPPLEMENTAL INFORMATION FOR 88090),08/05/1988,8808150147
88092,"PHILADELPHIA ELECTRIC, EXIDE",COPPER CONTAMINATION OF NEGATIVE PLATES IN SEVERAL BATTERY CELLS,07/29/1988,8808050319
88093,"TRANSAMERICA DELAVAL,TEXAS UTILITIES GENERATING",POTENTIAL PROBLEM WITH STATIC EXCITER VOLTAGE REGULATOR,08/17/1988,8809010341
88094,"ANCHOR/DARLING, KANSAS GAS AND ELECTRIC",CRACKING OF FOUR WAY VALVE SLIDES FROM BRAZING OR HEAT TREATING OF SLIDE MATERIAL,08/16/1988,8808250135
88095,BABCOCK AND WILCOX,INCONEL 600 MATERIAL USED TO FABRICATE STEAM GENERATOR TUBE PLUGS HAS MICROSTRUCTURE SUSCEPTIBLE TO STRESS CORROSION CRACKING,09/06/1988,8810070359
88096,"HOUSTON LIGHTING AND POWER,PAUL-MUNROE ENERTECH, ENERFAB",UNQUALIFIED AND FLUID INCOMPATIBLE MATERIAL IN SEALS INSTALLED IN MAIN STEAM POWER OPERATED RELIEF VALVE ACTUATORS,07/01/1988,8807210073
88097,"ILLINOIS POWER, AGASTAT RELAY",GP RELAY MISAPPLICATION RESULTED IN ACCUMULATED OXIDE ON CONTACTS,09/12/1988,8809150164
88098,"ARIZONA PUBLIC SERVICE, POTTER AND BRUMFIELD, COMBUSTION ENGINEERING","CORROSION OF INTERNAL SURFACES OF RELAY MOTOR CHAMBER, PREVENTING CONTACTS FROM CHANGING STATE",07/29/1988,8808170124
88099,"VIRGINIA ELECTRIC AND POWER, NELSON ELECTRIC","SAFETY-RELATED HEAT TRACING MATERIAL WAS NOT MANUFACTURED IN COMPLIANCE WITH 10 CFR PART 50, APPENDIX B",08/12/1988,8809070275
88100,"GEORGIA POWER, AMERICAN AIR FILTER","IMPROPER INSTALLATION OF HEATING, VENTILATION, AND AIR CONDITIONING",09/01/1988,8809060253
88101,"SACRAMENTO MUNICIPAL UTILITY DISTRICT,GOULD",DIFFERENTIAL PRESSURE TRANSMITTER PD3200 DRIFTING LOW AT RATE EXCEEDING MANUFACTURER’S CLAIMED STABILITY,08/08/1988,8808180435
88102,"SACRAMENTO MUNICIPAL UTILITY DISTRICT,GOULD",REVISION OF 88101,08/30/1988,8809140147
88103,"WISCONSIN PUBLIC SERVICE,BURNS AND ROE",SINGLE VALVE FAILURE MAY CAUSE OVERPRESSURIZATION OF NON- SEISMICALLY QUALIFIED PIPE SECTION IN REACTOR CORE ISOLATION COOLING SYSTEM,02/10/1988,8802260010
88104,"FISHER CONTROLS, DUKE POWER",UNDERESTIMATE OF FRICTION FORCES IN GRAPHITE-BASED PACKING IN VALVE ACTUATORS,09/15/1988,8810070269
88105,"SOUTHERN CALIFORNIA EDISON,CROSBY VALVE AND GAGE",CRACKS IN SPARE SAFETY VALVE GUIDE AND BEARING ASSEMBLIES,08/10/1988,8809070340
88106,"TENNESSEE VALLEY AUTHORITY, RELIANCE ELECTRIC,H. K. PORTER",DIESEL GENERATOR EXHAUST FANS DO NOT SUPPLY RATED AIRFLOW WITHOUT TRIPPING ON OVERLOAD,09/09/1988,8809150132
88107,ROCHESTER INSTRUMENT SYSTEMS,INSTRUMENT SHORTING BECAUSE OF NONSTANDARD OPERATION AND INPUT LEFT OPEN FOR SEVERAL HOURS,09/09/1988,8810070300
88108,GENERAL ELECTRIC,BINDING OF MOVABLE CONTACT FINGER IN PHENOLIC FINGER SUPPORT ASSEMBLY OF HFA RELAYS,08/12/1988,8808220071
88109,"MISSISSIPPI POWER AND LIGHT, TRANSAMERICA DELAVAL",TUBE LEAKS IN LEFT BANK INTERCOOLER OF EMERGENCY DEISEL GENERATOR,09/30/1988,8810240230
88110,LIMITORQUE,INSULATED DC MOTORS MAY NOT DEVELOP RATED STARTING TORQUE AT ELEVATED TEMPERATURES,11/03/1988,8811090125
88111,LIMITORQUE,MELAMINE TORQUE SWITCHES ON SMB ACTUATORS UNDERGO POST MOLD SHRINKAGE AND CAUSE CAM BINDING,11/03/1988,8811090125
88112,"WASHINGTON PUBLIC POWER, LIMITORQUE",MELAMINE TORQUE SWITCHES ON SMB ACTUATORS UNDERGO POST MOLD SHRINKAGE AND CAUSE CAM BINDING,09/30/1988,8810070335
88113,"CONSUMERS POWER,GENERAL ELECTRIC, ITT HAMMELL DAHL CONAFLOW",OFF CENTER VALVE STEM HOLE IN CONTROL ROD DRIVE SCRAM VALVE DIAPHRAGM,06/20/1988,Not Available
88114,TRANSAMERICA DELAVAL,STRESS PROBLEMS IN INTERCOOLER PLENUMS IN RV16-4 DIESEL ENGINES,11/11/1988,8811300033
88115,VICTOREEN,960CD CONTOLLER CHIP PRODUCED EXTRANEOUS SIGNALS,10/31/1988,8811290574
88116,"MORRISON- KNUDSEN, TENNESSEE VALLEY AUTHORITY",DIESEL GENERATOR UNABLE TO REACH RATED VOLTAGE DUE TO IMPROPER CABLE AND FUSE SIZE,09/28/1988,8810040405
88117,"NIAGARA MOHAWK POWER,COOPER ENERGY",FAILED CONTROL SWITCH AND RELAY IN NONSAFETY RELATED PORTION OF DIESEL GENERATOR CIRCUIT COULD DISABLE DIESEL GENERATOR DURING LOSS OF OFFSITE POWER,10/05/1988,8811290547
88118,"GEORGIA POWER, DRESSER INDUSTRIES, VALCOR ENGINEERING",VALVES INSTALLED IN OPPOSITE DIRECTION TO DIRECTION OF FLOW,10/18/1988,8810270022
88119,TRANSAMERICA DELAVAL,TUBE LEAKS IN LEFT BANK INTERCOOLER OF EMERGENCY DEISEL GENERATOR,10/05/1988,8810200039
88120,"MORRISON-KNUDSE N, TENNESSEE VALLEY AUTHORITY",RATED VOLTAGE DUE TO IMPROPER CABLE AND FUSE SIZE DUE TO DEFECT IN FIELD CIRCUIT BREAKER,10/12/1988,8810190168
88121,TRANSAMERICA DELAVAL,DIESEL GENERATOR SUMP TANK FOOT VALVE SEAT MATERIAL CHANGED FROM NEOPRENE TO VITON,10/05/1988,8810200036
88122,"COMMONWEALTH EDISON,COOPER ENERGY",CRACKS IN KSV-20-T DIESEL GENERATOR FUEL NOZZLE,10/04/1988,8810200004
88123,"DUQUESNE LIGHT, COLT INDUSTRIES",CRACKING AND SPALLING OF DIESEL GENERATOR EXHAUST SILENCER SUPPPORT PADS,10/31/1988,8811040248
88124,"CONSUMERS POWER, MASONEILAN, SAMPLE-WEBTROL",NONCONFORMING VALVE REPLACEMENT PARTS,10/21/1988,8810260245
88125,"CAROLINA POWER AND LIGHT, LIMITORQUE UNITED ENGINEERS",LACK OF SURGE PROTECTION IN CONTROL AND POWER CIRCUITS FOR DC MOTOR OPERATED VALVES,09/29/1988,8810240225
88126,"WISCONSIN PUBLIC SERVICE, AUTOMATIC SWITCH COMPANY",P80 LUBRICANT USED IN NP8314 SERIES VALVES MAY SOLIDIFY AND CAUSE INTERNAL PORTION OF THE VALVE MECHANISM TO STICK,10/18/1988,8810240057
88127,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE, WESTINGHOUSE",PINION KEYS AND MOTOR SHAFT IN MOTOR OPERATORS FAILED,09/23/1988,8809290168
88128,"TOLEDO EDISON, WESTINGHOUSE",LOOSE CABLE TERMINATIONS IN DC LOW VOLTAGE SWITCHGEAR,09/14/1988,8809190828
88129,"BALTIMORE GAS AND ELECTRIC, WESTINGHOUSE",LOOSE CRIMP CONNECTIONS IN MODEL DS 206 AND MODEL DS 416 CIRCUIT BREAKERS,09/20/1988,8810100014
88130,"DUKE POWER, ITT GRINNELL",IMPROPER HEAT TREATMENT OF PIPE CLAMPS RESULTED IN HIGHER STRENGTH MATERIAL WITH LOWERED FRACTURE TOUGHNESS,01/15/1988,8802030028
88131,"CONNECTICUT YANKEE ATOMIC POWER,VALCOR ENGINEERING, LITTON INDUSTRIES",CORROSION OF SOLDERED WIRE CONNECTIONS IN SOLENOID VALVES,09/27/1988,8810030360
88132,"MERCURY COMPANY OF NORWOOD, ROCHESTER INSTRUMENT SYSTEMS",PROBLEM WITH SIGNAL CONVERTERS,09/27/1988,8810060238
